|Content|Sentiment
0|@NoilyMV yo soy totalmente puntual|NONE
1|@SandraCauffman Hola Sandrita. No le habia deseado un feliz dia de la madre, tarde pero seguro.¿ Sabe usted si Juno ha tomado mas fotos ?|P
2|Si andan haciendo eso mejor se quedaran calladitas jaja pero así se están quemando ellas mismas e insinuando que son unas metidas|N
3|Que pereza quiero choco banano|N
4|@robertobrenes Bueno, no es tanto lo mayor como cuánto de campo sea usted. Sos cartaguito en cada aspecto de tu vida, por lo visto.|N
5|Pasé todo el día buscando mi Baby Lips y lo acabo de encontrar. Estaba en la mesita de noche de fijo lo puse ahí dormida|NEU
6|@doriamdiaz El de Halfon de Germinal se ve mortal. Y los de Mary Jo Bang se fueron volando, pero todavía quedan. En Duluoz hay de Salcedo|P
7|Ahorita me van a cambiar las ligas de los brakets, Tengo alfajores argentinos en mi bulto, tengo hambre , ¿QUÉ HAGO? no puedo esperar más|NONE
8|El amor es paciente, es bondadoso, no es envidioso ni orgulloso, no es egoísta, no guarda rencor. 1 Corintios 13:4-5 Buen día a todos|P
9|El amanecer respirando o2 puro, es más que un regalo... más si es a las 6:00 am frente al mar... preparando la mente con meditación.|P
10|Acabo de ver una chamaca con un piercing de mota en el ombligo. Lo peor es que tiene cara de que lo que fuma es jamón|N
11|@ruthernandezj hahaha sq si tiene un 5 HACE RATO era de cambiarlo haha, yo creo que si aguanta el mio bastantito! Casi 1 año ya|NEU
12|Acabo de ver a una excompañera de trabajo y me sentí tentado a saludarla. Con la trompa del carro, a 150kmph, intencionalmente.|N
13|@Colucci_99 ah si gracias Esas son las que he encontrado hasta ahora. Antes en pricesmart las vendían hace años pero ya no..|NONE
14|Buenas noches papus, que descansen|P
15|Me faltan 50mil colones la única manera de hacer toda la entrada de Metallica es literal pichaseandome esta semana trabajar 12 horas|N
16|Alvarado velando por mi salud|NONE
17|@josdav17 nunca hacen nada, hasta que exista según ellos más evidencia o sea aparecer más de 4 veces al día en tu casa no es válido|N
18|@Manryev ¡Me alegra muchísimo que te gustara! Igualmente un placer saludarte La próxima que vengás a SJ avisá con tiempo y vamos por café|P
19|Hoy tengo 2 preguntas existenciales...1) ¿Por qué hoy esta haciendo TANTO frío? y 2) ¿Porque me volvió a dar hipo después de tantos años?|NONE
20|Aquí en #Chepe ¿dónde consigo un buen sartén de hierro? Vi unos en Universal marca GIBSON q ni siquiera aparecen en internet|NONE
21|@sancarlena77 @frankgrs nunca dije lo contrario|NONE
22|A mí me dan ganas de volarmelo pero me acuerdo de que mi pelo es un desmadre y me lo dejo quedito|N
23|Pobre Bastian Scheweisteinger lo que le está pasando en el United, es muy crack y el genio de Mou no lo quiere|P
24|@kanygarcia esaaa la mejor de las suertes! Disfruta la noche, disfruta del #GranRex saludos desde Costa Rica! Buena vida, pura vida!!!|P
25|   Mae mañana llego a las 10, cuidado te quedas dormida porque a las 10 estoy ahí   -Liena, se quedó dormida y no ha llegado. |N
26|Mi familia va para la playa y yo por irresponsable tengo que quedarme haciendo los 1000 extra clases que tengo para el martes.|NONE
27|@francetvinfo @mr_matth @France2tv Cómo?Por años él ha sido parte del Tour,junto con las bicis y las camisas amarilla. MUCHAS GRACIAS!!|P
28|Mejor me duermo buenas noches|NEU
29|Mi horario de este semestre es tan tan feo, que me tendré que despedir de mi poca vida social y del estreno de suicide squad|N
30|Sabia que no iba a ser un buen día cuando me dejó el bus y se me rompió la faja del bolso.|N
31|Maes, la vida es una mierda: estén felices o no. Mejor sonrían y aprovechen el tiempo. Estar amargado no la va a hacer menos mierda.|NEU
32|@rociomoram29 que mal y por eso es que están jugando, yo creo q los jugadores viejos o de la casa deberían tener prioridad pero bueno...|N
33|Parce yo estoy igual @PaisaVlogs|NEU
34|Gracias a Dios cerrando con broche de oro! Dios siempre dando lo mejor a sus Hijos esta semana fue mucho mejor que la pasada! #thnksGod|P
35|Hola, soy Paulo y soy parte de la primera generación que va a tener resolución de problemas en bachi de mate|NONE
36|@donovanrp excelente, cuando me den el carro lo molesto, igual no conozco a nadie mas q haga Uber asi que el bono es suyo|P
37|@KristelS18 Acá tengo pero ugh, la canela no me gusta mucho es que es que me cae pesado, pero se me quitará.. Gracias Kris.|N
38|Yo solo quiero dormir mas|N
39|Buenas noches papus, que descansen|P
40|Oiga @NarcosNetflix porque no me reviven a Escobar, pa que se ponga interesante la serie.! eh jajajaja ( es en serio)|N
41|El único senador q se dirigió en español a la audiencia republicana para apoyar a @realDonaldTrump es de padres costarricenses Qué pena!|N
42|El horario me quedo tan perfecto y tengo tan buenas eectativas de los profes que ya quiero entrar a clases. Tan #bichoRaro, lo sé|P
43|@msroucks Wtf Yo tengo mi biblia firmada por el diablo Okno, pero eso es lo que se me vino a la mente :v|NONE
44|Sólo mi mamá logra por primera vez una cena en paz con TODA la familia Rodríguez Qué feliz soy de tener la madre que tengo|P
45|Yo vivo a 25 metros de la Basílica y salí a ver el juego de polvora de estos dos días, muy bonito #nadaquehacer|P
46|@AnaVM @Katagelon fijo está demasiado hermoso|P
47|Viendo Looking, Queers as Folk y así, me doy cuenta que nunca he tenido un grupo de mejores amigos gays. ¿alguien me adopta?|P
48|Recuerdo cuando le escribía a mi hermana @Andreagraseq79 para que me motivara y me hiciera sentir útil. Dios me dio a la mejor hermana|P
49|Hoy inicia la concachampions 2016-2017 pero realmente no importa porque no esta la @ldacr, en todo caso la voy a seguir porque si|N
50| Buenos días. Inicio de mes. A darlo todo, aunque sea   más o menos bueno en algo  . Feliz inicio de semana |P
51|Llego a la casa a las 9:20 caminando, no hay comida, todos están dormidos, mañana tengo clases a las 8am, todo esta bien|N
52|Lo termine a las 2 am hora Costa Rica, porque se me hizo súper adictivo. Me gusto pero no me encanto #LCshinyforflowers|P
53|Yo estoy triste por Raps|N
54|Fiesta bananera, día de la cerveza, Semana 14, último día de eeriencia y así no quieren que me vaya de parranda?|P
55|esta estupida de Abis a la par mía esperando a que saquen el desgraciado Trailer de Resident Evil fuck hasta as 12 md LA vamoooos|P
56|@byCoba con agua, hielo regularmente para que se mantenga fresca y un poquito de azúcar a la semana, me han durado hasta más de 1 mes.|P
57|Nos encanta hacerte feliz @rubndu|P
58|@miguesl21 en estas épocas no hay que decirle no a ningún trofeo y es conmemorativo para todos los equipos que ganen en la jornada|NEU
59|Yo ni se que le hice me deja de hablar de la nada y ni sabe cuanto la extraño. Chas gracias|N
60|Y las emergencias? La gente que necesita ir a hospitales? Los que esperan cita desde hace años? Ahhh no! Yo apoyo el paro nacional jijis|N
61|@nubecina entonces no es indigente ni tiene problemas mentales? Eso no justifica nada. La lanza como 1 muñeca a la calle|N
62|No voy a poder ver a mi mamá el día de la madre. Por un hijo de la grandísima puta. Bien|N
63|La Daniela me tienen griseada.|N
64|@jdclarke totalmente, lo del físico se deja atrás cuando el una persona atractiva en todo sentido. Incluyendo sus propuestas y cerebro|P
65|@lenaychantelle Cual es tu helado favorito y comida? Como te parecio Costa Rica cuando viniste y a donde fuiste? Sigueme pls saludos bye|NONE
66|Acabo de preguntarle al Mae de a la par que para donde va pero no fue por vina Esque estoy demasiado perdidaaaa|NONE
67|Hoy están participando muchas más mujeres, lo que me alegra mucho. Ya sea para preguntas propias o para hacer preguntas por su pareja|P
68|@me_aburris Sí he visto q los motociclistas andan especialmente violentos. Le pegan a los carros, los patean, le gritan a la gente y esto|N
69|Lo bueno es que voy para Talamanca y Cahuita en una gira, lo malo es que es el finde antes del examen de analítica|NEU
70|No me quiero levantar aiuda|N
71|Mmm no quiero hacer spoiler pero hoy va a ver algo nuevo en el canal,lo podras ver en el nuevo video que subire en unas horas|NEU
72|@hugozap quizá para profesionales no sea mucho,pero hay no remunerados principalmente femenino para quienes es un sueño, pasa en mi país|N
73|X:¿Qué perfume usas? Yo: Victoria's Secret X: Ah yo uso uno de Pink que es más caro que ese!|N
74|Hay gente aficionada al fútbol, hay fanáticos, hay envenenados, y hay otros hijueeeeputas necios! Igual que todo en la vida|N
75|@EsGermanDZ Quiero hacer una pregunta.  Si puedo? Yay.! Bueno la pregunta es.. ¿Vas o irías a un Jóvenes en Victoria?|NONE
76|@JArmandoCS ¿Vos también estabas? Ay que triste nombres sí, yo estaba durmiendo, para ir a clase hoy a las 7:30am ¡¡Te extraño bebé!!|N
77|@JArmandoCS solo me quedan 3 sábados más así jiji. ¿Qué días estás yendo a la U que no te he visto?|NEU
78|Que feo eso de decepcionarse|N
79|Delicioso @ San Rafael Ezcazu|P
80|@KhaMoreno hahahaha no lo había visto! Pero ojo, me desperté a las 8 y estoy tratando de dormir no puede ser q ste despierto aún|NEU
81|@AnaVM llego tarde, soy huge fan la empecé en el 2000, crecí con ella sube y cae tiene de todo como toda serie, temporadas favoritas...|P
82|@MicroCoAnSh seamos sinceros: Mi rostro inocente y un: Amigo, no me podés abrir? Es que perdí las llaves y mi roommate no contesta Abre|NONE
83|@CotoLau @AndreCorts yo también tuve los libros de AMP y no me convecieron :/, yo pasé los exámenes pero gracias a los exámenes viejos|NEU
84|@itsdylanjos yo solo las cucas|NONE
85|@Starbucks_cr Hola, quería agradecer al personal del Starbucks de La Sabana por guardar mi cartera olvidada Son los mejores, saludos|P
86|@Danileivacr buenísimo!! Yo mañana voy a clase de 6 de la tarde que es yoga Dance, es como yoga pero aeróbico|P
87|Ya no estoy para andarle sacando conversación a alguien, si la vara fluye bueno, y sino va pa' la mierda.|N
88|Me cago en la puta|N
89|El post que compartió @LuisLauretto no voy a poder estar tranquila hasta que anuncie quién viene. Y ya estoy pobre #GnR #Metallica|N
90|@malarodriguez saludos desde Costa Rica mala...ya q siempre te escribo y nunca me respondes Igual nunca me canso de escucharte.. Besos|NEU
91|@SanzZeriTica El Chavo no estaba triste|P
92|@Varce_c que triste es la realidad|N
93|@Calikhaug @PilarAcuna Muy bueno Chiquilla: No hay que tirar piedras al techo del vecino si el tuyo es de cristal. Feliz Noche, Pili.|P
